Type of Scam,Phone Number,Clean Digits,WhatsApp,Alt Numbers,Company Impersonated,Date Detected (PST),Source URL,Platform,Country,Snippet,Status
"Sextortion/Love Spell Scam","+233 55 092 1147","233550921147","Yes","","Grand Master Nana Kwaku","2026-09-24","https://www.instagram.com/p/DATm2_pS8v1/","Instagram","Ghana","This threat actor uses Instagram to promote 'instant wealth' and 'marriage binding' spells. The post features images of ritual altars and stacks of currency to lure victims into contacting the Ghana-based WhatsApp number for high-stakes spiritual intervention.","Active Line"
"Traditional Healer/Money Ritual Scam","+254 712 883 405","254712883405","Yes","","Mama Shina Traditional Healer","2026-09-24","https://www.instagram.com/reel/DATh_9xI2mK/","Instagram","Kenya","The profile bio and recent reel advertise spiritual cleansing and financial breakthroughs through traditional African medicine. The practitioner directs all inquiries to WhatsApp for 'urgent rituals' and charges a preliminary consultation fee via mobile money before performing services.","Active Line"
"Traditional Healer / Spiritualist Fraud","+234 814 556 7782","2348145567782","Yes","","Great Baba Agbaje Spiritual Home","2026-09-24","https://www.facebook.com","Facebook","Nigeria","I am the solution to your problems. Financial breakthrough, fruit of the womb, and love binding. Message me on WhatsApp +234 814 556 7782.","Active Line"
"Traditional Healer / Spiritualist Fraud","+27 73 829 4410","27738294410","Yes","","Mama Zama Spiritualist & Love Specialist","2026-09-24","https://www.facebook.com","Facebook","South Africa","The post advertises spiritual services including 'lost lover' return and 'binding spells' to fix broken relationships. It targets vulnerable individuals in South Africa, directing them to initiate a private consultation via WhatsApp for a guaranteed result.","Active Line"
"Kindle Distribution Scam","+254 712 884 930","254712884930","Yes","","Kindle Direct Publishing Consultant Kenya","2026-09-24","https://twitter.com/search?q=amazon+kdp+support+kenya","Tech Support United","Kenya","Scammers utilize SEO-optimized snippets to appear as official Amazon publishing consultants for the African market. Once contacted via chat, they claim the author's account requires a 'security deposit' or 'marketing package' to bypass regional distribution restrictions, leveraging the Amazon brand to gain trust.","Active Line"
"Tech Support & Refund Scams","+25679140314","25679140314","Yes","","Spiritual Healing Sanctuary","2026-09-23","https://techscammersunited.com/t/african-spiritual-guidance-scam-25679140314/42309","Tech Support United","Uganda","Active scammer line reported on Tech Support United: African Spiritual Guidance SCAM +25679140314","Active Line"
"Apple Security & Invoice Phishing","1 (877) 261-8316","8772618316","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-invoice-scam-877-261-8316/42305","Tech Support United","United States","A phishing campaign distributing fake Apple invoices for high-value App Store or digital device purchases. The email instructs recipients to contact customer support immediately via the toll-free number if they did not authorize the charge.","Active Line"
"Apple Security & Invoice Phishing","1 (888) 816-4830","8888164830","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-refund-scam-888-816-4830/42294","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple Refund Scam 888-816-4830","Active Line"
"Tech Support & Refund Scams","1 (833) 534-2451","8335342451","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-southwest-customer-support-line-833-534-2451/42285","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Southwest Customer Support Line: (833) 534-2451","Active Line"
"Tech Support & Refund Scams","1 (833) 859-8371","8338598371","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-air-transat-baggage-support-line-833-859-8371/42284","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Air Transat Baggage Support Line: (833) 859-8371","Active Line"
